Record ID,Deal Name,Deal Stage,Close Date,Deal owner,Amount,Closed Lost Reason,Last Modified Date,Create Date
6877153472,Southampton University - Digital Strategy Consultancy Services,Closed: abandoned,2023-04-04 11:48,Mark Stringer,375000,,2023-03-21 12:10,2023-03-13 11:47
6776072684,Department of Health and Social Care - Social care access project [14/03/2023],Closed: abandoned,2023-02-28 12:50,Mark Stringer,,,2023-03-13 11:45,2023-02-28 12:50
6740049875,British Council - 2023_Global - Think Customer [14/03/2023],Closed: abandoned,2023-02-28 14:48,Mark Stringer,1000000,,2023-03-13 11:47,2023-02-23 14:49
6574754778,Digileaders [21/02/2023],Closed: abandoned,2023-02-14 12:36,Mark Stringer,,,2023-02-23 14:22,2023-02-01 12:34
6508986600,Thames Valley Police: Case Management Solution for ACRO [08/02/2023],Closed: abandoned,2023-02-08 11:51,Aspasia Dellaporta,,,2023-02-01 12:16,2023-01-25 11:51
6464846298,Look at TEPAS [21/03/2023],Closed: abandoned,2023-01-31 12:54,Mark Stringer,,,2023-03-28 12:12,2023-01-19 12:55
5932654785,UKHSA - National Biosurveillance Network Discovery,Closed: abandoned,2022-11-25 15:28,Michael Thomas,2500000,,2022-11-22 15:46,2022-11-15 15:28
5932654540,West Midlands Children's Placement Portal Replacement,Closed: abandoned,2022-11-24 15:25,Michael Thomas,1060000,,2022-11-17 10:54,2022-11-15 15:25
5931314156,DHSC – Adult Social Care data collection system - Discovery,Closed: abandoned,2022-11-28 14:42,Michael Thomas,150000,,2022-11-29 12:43,2022-11-15 14:43
5929590250,Birmingham City Council - Provision of Selective and Additional Licensing,Closed: abandoned,2022-11-29 15:48,Aspasia Dellaporta,,,2022-11-29 12:42,2022-11-15 11:34
5746639849,Demonstrate Animals - make a video of it,Closed: abandoned,2022-11-17 12:47,Mark Stringer,,,2022-11-17 10:57,2022-10-25 12:47
5607332297,Office of National statistics - shortlisting,Closed: abandoned,2022-10-20 12:46,Mark Stringer,,,2022-10-25 12:41,2022-10-04 12:45
5519113438,Animals in Science CRM Discovery,Closed: abandoned,2022-09-30 12:32,Aspasia Dellaporta,50000,,2022-10-25 12:38,2022-09-20 12:33
5403827925,UK Ship emissions reporting,Closed: abandoned,2022-09-07 12:51,Mark Stringer,,,2022-09-06 12:31,2022-09-01 12:51
5403282930,Where's my patients,Closed: abandoned,2022-09-12 12:35,Mark Stringer,,,2022-09-06 12:28,2022-09-01 12:34
5147023046,UK Research and innovation - Agile IT Services Framework,Closed: abandoned,2022-08-23 11:02,Aspasia Dellaporta,9500000,,2022-08-09 12:51,2022-07-27 11:05
5050659017,Plymouth Uni - Carbon Management Software ,Closed: abandoned,2022-07-18 13:24,Michael Thomas,,,2022-09-01 12:52,2022-07-11 13:25
4940971745,University of Strathclyde - Provision of Digital Services for Co-Managed Care [14/02/2023],Closed: abandoned,2023-02-14 12:56,Mark Stringer,15000000,,2023-02-14 12:57,2022-06-28 12:41
4791469527,DVLA - Digital Driving License (dDL) [14/05/2023],Closed: abandoned,,Ben Marvell,,,2023-03-14 12:13,2022-06-07 15:32
6685279692,WIT send email to people who requested meetings who we didn't have chance to meet [21/02/2023],On hold / future opportunity,2023-02-22 18:12,Mark Stringer,,,2023-03-31 11:35,2023-02-14 12:24
6685279449,WIT Peter Martin - Head of ICT Youth Justice board [21/02/2023],On hold / future opportunity,2023-02-15 10:19,Mark Stringer,,,2023-03-31 11:36,2023-02-14 12:22
6634095836,"WIT Sarah Jane Taylor - Director of People and Organisational Development, Digital Health and Care Wales [14/2/2023]",On hold / future opportunity,2023-02-15 23:06,Mark Stringer,,,2023-03-31 11:36,2023-02-09 18:15
6634097649,"WIT Germain Faulkner - Customer Experience and Service Design Lead, CAA  [14/02/2023]",On hold / future opportunity,2023-02-14 16:19,Mark Stringer,,,2023-03-31 11:37,2023-02-09 18:12
6634095593,"WIT Crystal Dennis - Head of Digital access to service @Home, NHS Dorset [14/02/2023]",On hold / future opportunity,2023-02-15 10:24,Mark Stringer,,,2023-03-31 13:45,2023-02-09 18:08
6634097599,WIT Fay Hopwood + another lady - HM Land registry [14/02/2023],On hold / future opportunity,2023-02-14 16:26,Mark Stringer,,,2023-03-31 14:29,2023-02-09 18:05
6634077386,WIT Monica Cottavafi  [14/02/2023],On hold / future opportunity,2023-02-14 16:20,Mark Stringer,,,2023-03-31 14:29,2023-02-09 17:23
6634080249,"WIT Ghan Varsani - ERP programme Director, Waltham Forest Council [14/02/2023]",On hold / future opportunity,2023-02-15 10:22,Mark Stringer,,,2023-03-31 13:45,2023-02-09 17:21
6634079988,"WIT Lisa Young - Planning and development manager, Police Digital Services [14/02/2023]",On hold / future opportunity,2023-02-15 10:20,Mark Stringer,,,2023-03-31 11:34,2023-02-09 17:15
6634076873,"WIT Lesley Pink - Homeland security Director, HO",On hold / future opportunity,2023-02-15 10:21,Mark Stringer,,,2023-03-31 11:35,2023-02-09 17:14
6634079947,"WIT Lorna Griffiths - Application support manager, The Pensions Regulator [4/4/2023]",On hold / future opportunity,2023-02-28 17:12,Mark Stringer,,,2023-03-31 13:45,2023-02-09 17:12
6634076624,"WIT Vicky Thomson - D365 Manager, The Pensions Regulator [14/02/2023]",On hold / future opportunity,2023-02-15 10:17,Mark Stringer,,,2023-03-31 11:36,2023-02-09 17:08
4792016320,Thirteen Group - customer digital services [02/05/2023],On hold / future opportunity,2022-06-27 12:08,Aspasia Dellaporta,,,2023-02-23 14:08,2022-06-07 16:33
6882621886,Catapult - Business Support Challenges bid [21/03/2023],Closed: lost,2023-03-17 09:02,Aspasia Dellaporta,48000,,2023-03-17 09:07,2023-03-14 09:28
6464706284,Civil aviation authority [21/02/2023],Closed: lost,2023-02-23 14:24,Mark Stringer,250000,,2023-02-23 14:24,2023-01-19 12:30
6356862669,PHW Screening Services Information Systems – Discovery Phase,Closed: lost,2023-01-19 12:45,Michael Thomas,100000,,2023-01-19 12:45,2023-01-05 11:46
5931314402,BEIS Help to Heat discovery [10/01/2022],Closed: lost,2023-01-10 12:52,Michael Thomas,286750,,2023-01-10 12:52,2022-11-15 14:45
5811013845,BEIS - Energy Savings Opportunity Scheme (ESOS) web solution [14/02/2023],Closed: lost,2023-02-14 12:41,Aspasia Dellaporta,434250,,2023-02-20 09:08,2022-11-02 12:54
5779454177,BEIS - CHPQA portal redesign,Closed: lost,2022-12-06 12:53,Michael Thomas,300000,,2022-12-06 12:53,2022-10-28 10:10
5746728434,UK Export Finance,Closed: lost,2022-11-29 12:47,Mark Stringer,,,2022-11-29 12:47,2022-10-25 13:13
5746670282,CDEI - AI case study repository ,Closed: lost,2022-12-13 12:44,Mark Stringer,75000,,2022-12-13 12:44,2022-10-25 13:09
5746640570,Police - Oscar Kilo,Closed: lost,2022-11-22 15:41,Mark Stringer,,,2022-11-22 15:41,2022-10-25 12:56
5519670774,National Archives - Access Your Records technical prototype Alpha,Closed: lost,2022-10-18 14:37,lenny@marvell-consulting.com (Deactivated User),,,2022-10-18 14:37,2022-09-20 13:13
5480378071,National Archives Website IA,Closed: lost,2022-10-04 12:27,Mark Stringer,90000,,2022-10-04 12:27,2022-09-13 12:26
5286415336,Companies house,Closed: lost,2022-09-01 12:55,Mark Stringer,,,2022-09-01 12:55,2022-08-16 12:37
5240014798,New CTO at Imperial [27/01/2023],Closed: lost,2023-01-25 12:43,Mark Stringer,,,2023-01-25 12:43,2022-08-09 13:03
5191450845,UK Health Security Agency - Laboratory Surveillance Discovery,Closed: lost,2022-09-01 12:40,Aspasia Dellaporta,100000,,2022-09-01 12:40,2022-08-02 12:38
5104802260,BEIS - Laboratory Information Management System (LIMS),Closed: lost,2022-11-02 12:39,Aspasia Dellaporta,,,2023-02-20 09:08,2022-07-20 17:15
